,palette_number,likes,date_posted,username,block1,block2,block3,block4,block5,block6
0,1,46,1 year ago,,cut_sandstone,stripped_birch_log,light_blue_terracotta,cut_red_sandstone,stripped_dark_oak_log,blue_terracotta
1,101,18,1 year ago,,dark_oak_log,dark_oak_planks,cobblestone,stripped_birch_log,loom,gray_terracotta
2,201,32,1 year ago,,andesite,cobblestone,dark_oak_planks,spruce_log,spruce_planks,stone_bricks
3,301,11,1 year ago,,cracked_stone_bricks,white_concrete,dark_oak_planks,andesite,light_gray_stained_glass,mossy_stone_bricks
4,401,17,1 year ago,,orange_glazed_terracotta,orange_terracotta,red_sandstone,warped_wart_block,stripped_warped_stem,yellow_glazed_terracotta
5,501,1,1 year ago,Sautsy,blue_terracotta,gilded_blackstone,quartz_bricks,white_stained_glass,gray_concrete_powder,basalt
6,601,11,1 year ago,,light_gray_stained_glass,polished_andesite,stone_bricks,quartz_bricks,polished_basalt,polished_diorite
7,701,7,1 year ago,Hylkema,spruce_planks,oak_log,mossy_stone_bricks,oak_planks,cobblestone,stripped_birch_log
8,801,13,1 year ago,Lumin3sc3nt,cobblestone,lime_terracotta,dark_oak_log,birch_planks,light_gray_stained_glass,mossy_cobblestone
9,901,0,1 year ago,,pink_concrete_powder,magenta_glazed_terracotta,crimson_planks,white_terracotta,gravel,basalt
10,1001,4,11 months ago,,stone,white_concrete,cyan_concrete,cyan_terracotta,smooth_stone,gilded_blackstone
11,1101,3,11 months ago,,beehive,stone_bricks,stone,dead_bubble_coral_block,oak_planks,stripped_oak_log
12,1201,0,11 months ago,IdonyConway,dark_oak_planks,yellow_concrete,dark_oak_log,black_stained_glass,polished_blackstone,mossy_stone_bricks
13,1301,1,11 months ago,,barrel,basalt,quartz_pillar,spruce_log,glowstone,birch_planks
14,1401,1,10 months ago,,chiseled_sandstone,white_shulker_box,white_concrete_powder,yellow_wool,ancient_debris,gray_concrete_powder
15,1501,6,10 months ago,,polished_andesite,spruce_log,spruce_planks,glass,stone_bricks,cobblestone
16,1601,14,10 months ago,,quartz_block,stone_bricks,oak_log,spruce_planks,yellow_terracotta,black_stained_glass
17,1701,5,10 months ago,SkullDugg,netherrack,crimson_planks,stripped_crimson_stem,end_stone,end_stone_bricks,smooth_sandstone
18,1801,4,9 months ago,,purpur_block,quartz_pillar,cyan_terracotta,birch_planks,purple_stained_glass,cyan_wool
19,1901,5,9 months ago,,mossy_cobblestone,basalt,green_wool,light_gray_glazed_terracotta,stripped_warped_stem,dead_brain_coral_block
20,2001,4,9 months ago,,acacia_log,light_gray_concrete_powder,brown_terracotta,cyan_terracotta,stone_bricks,mossy_stone_bricks
