,palette_number,likes,date_posted,username,block1,block2,block3,block4,block5,block6
0,1,46,1 year ago,,cut_sandstone,stripped_birch_log,light_blue_terracotta,cut_red_sandstone,stripped_dark_oak_log,blue_terracotta
1,1001,4,11 months ago,,stone,white_concrete,cyan_concrete,cyan_terracotta,smooth_stone,gilded_blackstone
2,2001,4,9 months ago,,acacia_log,light_gray_concrete_powder,brown_terracotta,cyan_terracotta,stone_bricks,mossy_stone_bricks
3,3001,3,8 months ago,Anna,gray_wool,gray_concrete_powder,gray_concrete,spruce_log,spruce_planks,calcite
4,4001,0,7 months ago,Rhythemlee,birch_log,amethyst_block,blue_terracotta,blue_ice,birch_planks,brown_mushroom_block
5,5001,4,6 months ago,,dark_oak_log,cobbled_deepslate,stone_bricks,cyan_terracotta,calcite,packed_ice
6,6001,2,6 months ago,Pandraman,calcite,stripped_spruce_log,oak_log,barrel,green_concrete_powder,beehive
7,7001,2,5 months ago,Dawsoncrazy2007,nether_wart_block,cyan_terracotta,warped_planks,dark_prismarine,gray_concrete,nether_bricks
8,8001,1,4 months ago,,acacia_log,stone_bricks,mossy_stone_bricks,cracked_stone_bricks,iron_bars,cobblestone
9,9001,3,3 months ago,,deepslate_tiles,red_nether_bricks,deepslate_bricks,red_stained_glass,copper_block,quartz_block
10,22001,4,2 months ago,Mesaswah,nether_bricks,stripped_warped_stem,warped_planks,barrel,spruce_planks,redstone_lamp
11,23001,1,2 weeks ago,Apricorns,acacia_log,cut_copper,acacia_planks,deepslate_bricks,oxidized_cut_copper,stone
